項次,裁處書日期,違規情節,罰鍰金額數,罰則註記
13,112/11/29,緣受處分人於Instagram（帳號名稱:momoco529）（網址:https://www.instagram.com/OOOO/）刊登限時動態內容略以：「小鳳凰電波超甜活動...小鳳凰電波：原價一發88元，900發為79200限量甜甜活動...限量加購：海芙音波300條17888...地點：寶儷國際美型診所...因為這次價格太漂亮！所以是限量的唷！超過數量就會換價格，可以好好把握一下囉。」，受處分人非醫療機構，意圖為醫療機構招徠醫療之廣告內容，已違反醫療法第84條規定。,"50,000",醫療法第84條
14,112/11/28,緣受處分人係「OOO診所（機構代碼：3501015482）」負責醫師，案係該診所於：（一）FB（網址：https://www.      facebook.com/OOOO；本局下載日期：112年11月3日）刊載內容略以：「...OOO慶開幕肉毒除皺$1288...雙十節快閃活動肉毒1區1010 ...」；（二）Instagram（網址：https://www.instagram.com/OOOO__/；本局下載日期：112年11月3日）刊登內容略以：「...肉毒100U優惠8500、肉毒200U優惠15990，音波800發活動82折36000現省8000!!，海芙音波200發$9600、400發$18800...小V臉優惠組合...」，並刊載診所名稱、地址等資訊，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"60,000",醫療法第86條
15,112/11/21,受處分人OOO係OO診所(機構代碼:3501175769)負責人，於112年11月1日向本局申請該診所歇業備查。坦承該診所自112年4月18日開業至112年10月31日之病人病歷資料已當廢棄物處理。按醫療機構其因故未能繼續開業，病歷無承接者時，應將其餘病歷應保存六個月以上始得銷燬，查上開事項核已違反醫療法第70條之規定。,"10,000",醫療法第70條
16,112/11/16,緣受處分人係「OOOO」(機構代碼：05010OOO)，經本局於112年9月20日至該院辦理年度醫院督導考核，查獲92病房之病床空間已移做為各類檢查室，24床病床堆放於2樓角落及男生宿舍，顯無法收治病人，致急性一般病床實際開放數與登記開放數不符。該院登記事項變更，未於事實發生之日起30日內辦理變更登記，核已違反醫療法第15條第1項規定。,"50,000",醫療法第15條第1項
17,112/11/10,"緣受處分人「OOO有限公司萬大分公司」於Yahoo新聞網頁「OOOO攜手醫美推住房周六下午茶四人同行一人免費」(網址：https://tw.news.
yahoo.com/%E5%8F%B0%E5%8C%97%E5%87%B1%E9%81%94%E6%94%9C%E6%89%8B%E9%86%AB%E7%BE%8E%E6%8E%A8%E4%BD%8F%E6%88%BF-%E5%91%A8%E5%85%AD%E4%B8%8B%E5%8D%88%E8%8C%B6%E5%9B%9B%E4%BA%BA%E5%90%8C%E8%A1%8C -% E 4% B A % B A % E 5% 85% 8D % E 8% B 2% B B -045700603.html；本局下載日期：112年7月17日)刊載內容略以：「2023年7月11日 週二 下午12:57...OOOxOOO醫美聯手推出醫美假期越玩越美...專案每房OOO醫美診所全館療程1,000元抵用金(不含特殊活動)乙張...『夏日美麗住房專案』每房即贈熬夜抗皺胜?眼霜筆15mL (原價1,480元)乙支與麗思醫美診所全館療程1,000元抵用金(不含特殊活動)乙張。再附贈乙張超值優惠療程券，可選擇打造身體完美曲線的『肌力PLUS』或是讓臉部容光煥發的全臉玻尿酸保濕療程...」，該公司非醫療機構，意圖為醫療機構招徠醫療之廣告內容，已違反醫療法第84條規定。","50,000",醫療法第84條
18,112/11/08,受處分人為「OOOO診所」(機構代碼:350102G172)負責醫師，案係病人反映至OOOO診所接受消脂治療疑義，經診所112年10月6日函復並檢附病歷資料，查病人陳OO 110年7月17日消脂注射同意書、肉毒桿菌素注射劑處置說明、肉毒桿菌素注射劑處置同意書、玻尿酸皮下植入物注射劑處置說明、玻尿酸皮下植入物注射劑處置同意書、舒顏萃植入劑（Sculptra）處置說明（範本）、舒顏萃植入劑（Sculptra）處置同意書等於日期欄位多處具塗改紀錄。該診所刪改病歷未依規定於刪改部分，以畫線去除，並於增刪處簽名或蓋章及註明年、月、日，而是以塗燬方式辦理，已違反醫療法第68條第2項之規定。,"10,000",醫療法第68條第2項
19,112/11/08,"緣受處分人係「OOOO診所（機構代碼：3501109916）」負責醫師，案係該診所於：（一）Instagram（網址：https://www.instagram.com/fm_fumei/；本局下載日期：112年10月12日）刊登內容略以：「...1+1 =雙倍美好滿萬折千來店禮隨身美麗收納包+面膜乙片滿額贈淨膚雷射/美白針/保濕導入任選+面膜乙組加購價點滴保養888...」、「…半年護膚吃到飽18,888 芙美2週年...限時領取醫美級術後保濕套組兩件85折芙美2週年...限時領取…」、「...2nd週年滿萬折千皮秒雷射6送2 15,000 半年護膚吃到飽 18,888 雙人除毛卡腋下500/私密處750...」；（二）Facebook（ 網址： https://www.facebook.com/photo?fbid=337713192099783&set=a.178527878018316；本局下載日期：112年10月12日）刊登內容略以：「...2nd週年滿萬折千...1+1 =雙倍美好 芙美2週年生日 變美的路上不要猶豫#趕快加一 年度熱門項目通通都有滿萬折千啦！...」，並刊載診所名稱、地址等資訊，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。","60,000",醫療法第86條
20,112/11/07,"緣受處分人係「OOOO牙醫診所（機構代碼：37010OOOO）」負責醫師，案係該診所於Facebook帳號「OOOO牙醫診（網址：https://www.facebook.
com/OOOO；本局下載日期：112年10月16日）刊登內容略以：「...隱適美隱形矯正...全口矯正方案 Invisalign隱適美 9萬8000元 歡慶雙十...享0元體驗ITero口腔掃描 市價$6000元...」，以優惠等具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。","50,000",醫療法第86條
21,112/11/07,緣受處分人係「OOOO診所（機構代碼：35010OOOO）」負責醫師，案係該診所於Facebook帳號「「OOOO診所」（網址：https://m.facebook.comOOOOp?story_fbid=pfbid0KvOOOOnD3gCiXqXpdakeMuumHEpcj5K8sB8onEiuVkr6nLVyQDOOOO487663412&mibextid=qC1gEa；本局下載日期：112年10月16日）刊登內容略以：「...沐雲美學 edge one 10/18～10/26 Co2二氧化碳雷射活動開跑...私密處G緊雷射+煥白 9999...」，以暗示贈送、優惠等具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"50,000",醫療法第86條
22,112/11/06,"緣受處分人「OOOO有限公司」於網路：(一)Youtube影片(網址：https://www.youtube.com/OOOOv=5OvUicYGs5g；本局下載日期：112年9月14日)刊載內容略以：「...均一價無隱藏收費分期最高12期0利率 ZenyumClear?隱形牙套使用專屬連結免費線上評估再享最高17,000折扣(詳情請見資訊欄)本廣告與『
Zenyum綻雅台灣』合作播出...全台唯一！均一價隱形牙套，絕無隱藏費用?? 隱形牙套穿戴方便，大口享受美食不必忍?? 免費線上評估！讓你在家裡就可做檢查現在?? 只要使用志祺七七專屬優惠連結完成免費線上評估，即可享有隱形牙套特殊優惠?? ZenyumClear 輕矯正定價7萬2，折扣7,000元...ZenyumPlus 全口矯正定價12萬，折扣17,000元免費又方便的服務就在這裡，快點一起來評估吧?? https://bit.ly/OOOOid...」，經點擊網址：https://bit.ly/3YOOOOid刊登內容略以：「...Zenyum綻雅...免費線上牙齒評估只需簡單 3 步驟，7萬2就能讓你展開自信微笑！ hourclass 總共只需要約五分鐘...開始評估...」；(二)網頁（網址：https://obOOOO.com /tw -zh/intro/?utm_campaign=18267205157&utm_source=google&utm_medium=cln_cpc&utm_content=630900460073&%
E2%80%A6#/；本局下載日期：112年9月23日）刊登內容略以：「...免費線上牙齒評估只需簡單3步驟，7萬2就能讓你展開自信微笑!...1 提交資料 讓Zenyum更了解您的需求...2 回答4個簡單問題 讓Zenyum更了解您想要的牙齒問題，例如：齒列擁擠、牙縫過大等...3 工具提供完整的牙齒照片 上傳牙齒照片，讓牙科專家為您做評估...開始評估」，該公司非醫療機構刊登醫療廣告，核已違反醫療法第84條規定。","60,000",醫療法第84條
