項次,日期,違規情節,罰鍰金額數,罰則註記
,113/03/22,受處分人係晶華國際酒店股份有限公司（市招：晶華酒店；臺北市中山區中山北路2段39巷3號）浴池之負責人，實際經營浴室業，經本局於113年2月19日抽驗 女浴池水，抽驗單編號20240204020-2水中大腸桿菌群為21 CFU/100mL，與規定不符。,"2,000",臺北巿營業衛生管理自治條例第15條第1項第2款
,113/03/25,受處分人係寒舍國際酒店股份有限公司（市招：臺北艾麗酒店；臺北市信義區松高路18號）游泳池之負責人，實際經營游泳業，經本局於113年3月6日抽驗室 外泳池水，抽驗單編號20240228006-1和20240228006-2水中大腸桿菌群為42 CFU/100mL及10 CFU/100mL，與規定不符。,"2,000",臺北巿營業衛生管理自治條例第15條第1項第2款
,113/03/28,受處分人係中山國民中學（臺北市松山區民權東路3段106巷3弄2號）委託經營廠商「展望運動股份有限公司」之負責人，實際經營游泳業，經本局於113年3月 14日抽驗泳池水，抽驗單編號20240228052-1水中大腸桿菌群為7 CFU/100mL，與規定不符。,"2,000",臺北巿營業衛生管理自治條例第15條第1項第2款
,113/04/01,受處分人係松山運動中心（臺北市松山區敦化北路1號）委託經營廠商「匯陽百貨事業股份有限公司松山運動中心分公司」之負責人，實際經營游泳業，經本 局於113年3月14日抽驗泳池水，抽驗單編號20240228051-1水中大腸桿菌群為12 CFU/100mL，與規定不符。,"2,000",臺北巿營業衛生管理自治條例第15條第1項第2款
,113/04/09,受處分人係山豬窟游泳池館（臺北市南港區舊莊街1段290巷32號）委託經營廠商「樂霏翔有限公司」之負責人，實際經營游泳業，經本局於113年3月14日抽驗 泳池水，抽驗單編號20240229003-2水中大腸桿菌群為14 CFU/100mL，與規定不符。,"2,000",臺北巿營業衛生管理自治條例第15條第1項第2款
,113/04/23,"受處分人係西門國民小學（臺北市萬華區成都路98號）委託經營廠商「浩瀚運創有限公司西門營業所」之負責人，實際經營游泳業，經本局於113年3月18日抽 驗泳池水，抽驗單編號20240229010-1和20240229010-2水中總菌落數皆大於1,000 CFU/mL；水中大腸桿菌群分別為16 CFU/100mL及14 CFU/100mL，與規定不 符。","2,000",臺北巿營業衛生管理自治條例第15條第1項第2款
,113/05/08,受處分人係桑富士股份有限公司（市招：桑富士運動俱樂部；臺北市大同區平陽街29號）女浴池之負責人，實際經營浴室業，經本局於113年4月18日抽驗女浴 池水，抽驗單編號20240331031-1水中大腸桿菌群為12 CFU/100mL，與規定不符。,"2,000",臺北巿營業衛生管理自治條例第15條第1項第2款
,113/05/10,受處分人係玉泉公園（臺北市大同區西寧北路28號）委託經營廠商「星哲企業股份有限公司」之負責人，實際經營游泳業，經本局於113年4月18日抽驗兒童泳 池水，抽驗單編號20240331025-1水中大腸桿菌群為8 CFU/100mL，與規定不符。,"2,000",臺北巿營業衛生管理自治條例第15條第1項第2款
,113/05/10,受處分人係晶華國際酒店股份有限公司（市招：臺北晶華酒店；臺北市中山區中山北路2段39巷3號）游泳池之負責人，實際經營游泳業，經本局於113年4月18 日抽驗室外泳池水，抽驗單編號20240331026-2水中大腸桿菌群為9 CFU/100mL，與規定不符。,"2,000",臺北巿營業衛生管理自治條例第15條第1項第2款
,113/05/30,受處分人係香港商世界健身事業有限公司內湖民權分公司（下稱香港商世界健身公司，市招：World Gym健身俱樂部福華店；臺北市內湖區民權東路6段180巷6 號B2及B2-1）浴池之負責人，實際經營浴室業。經本局於113年5月14日抽驗女浴池水之自由有效餘氯量，檢測結果為0.51 ppm，與本局公告自由有效餘氯應保 持百萬分之1.0至3.0間不符。嗣經本局通知該公司於113年5月16日前完成改善，惟經本局於113年5月17日複驗，檢測結果為0.04 ppm，仍不符前開公告標準。,"4,000",臺北巿營業衛生管理自治條例第15條第1項第4款
