違規案件編號,處分日期,案件狀態,地籍_區,地籍_段,地籍_小段,地籍_地號,違規面積_平方公尺,違規類別,暫停開發兩年,暫停開發到期日,罰鍰金額
CA10001003,2011/1/12,結案,士林,天玉,二,367,45,未經申請開挖整地,,,60000
CA10001005,2011/1/13,結案,士林,芝蘭,三,126-3,27,未經申請開挖整地,,,60000
CA10001006,2011/1/13,結案,北投,桃源,二,658-4,240,未經申請開挖整地,,,60000
CA10001004,2011/1/13,結案,士林,芝蘭,三,126-2,93,未依規定期限改正,,,80000
CA10001007,2011/1/14,結案,北投,湖田,一,330,83,未依核定計畫施工,,,60000
CA10001008,2011/1/19,結案,士林,菁山,一,409,314,未經申請開挖整地,,,60000
CA10001009,2011/1/27,結案,士林,天玉,一,229,40,未依核定計畫施工,,,60000
CA10001010,2011/1/27,結案,士林,芝蘭,二,222,375,未依核定計畫施工,,,60000
CA10001012,2011/1/28,結案,文山,指南,二,284,20,未經申請開挖整地,,,60000
AF10001011,2011/1/28,結案,文山,萬芳,二,695,28600,未依技術規範實施,,,0
CA10001013,2011/1/31,結案,士林,溪山,二,628,27,未依核定計畫施工,,,60000
CA10002001,2011/2/1,結案,內湖,康寧,一,293,18,未依核定計畫施工,,,60000
CA10002002,2011/2/1,結案,北投,崇仰,一,45839,160,未依核定計畫施工,,,60000
CA10002003,2011/2/17,結案,士林,芝蘭,三,56,12,未經申請開挖整地,,,60000
CA10002004,2011/2/23,結案,文山,草湳,二,376,1037,超限利用,,,0
CA10002005,2011/2/24,結案,士林,芝蘭,三,45,400,未經申請開挖整地,,,60000
CA10003001,2011/3/14,結案,士林,溪山,三,396,330,未經申請開挖整地,,,60000
CA10004001,2011/4/1,結案,士林,新安,三,511,200,未經申請開挖整地,,,60000
CA10004002,2011/4/6,結案,中山,北安,四,44,31,未依核定計畫施工,,,60000
CA10004003,2011/4/14,結案,南港,麗山,四,355-1,1200,堆積土石,,,100000
CA10004004,2011/4/18,結案,文山,公訓,二,125,60,未依核定計畫施工,,,60000
CA10004005,2011/4/21,結案,士林,芝蘭,二,415,480,未經申請開挖整地,,,60000
CA10004006,2011/4/26,結案,士林,翠山,二,16469,120,未經申請開挖整地,,,60000
CA10005001,2011/5/5,續予處分,士林,翠山,二,;227;,0,未依規定期限改正,,,100000
CA10005002,2011/5/18,結案,文山,頭廷,一,363,140,農業違規,,,0
CA10005003,2011/5/30,結案,北投,行義,一,420,27,未依核定計畫施工,,,60000
CA10006001,2011/6/9,結案,士林,新安,四,191,495,未經申請開挖闢路,,,60000
CA10006002,2011/6/10,結案,北投,桃源,四,137,64,未依核定計畫施工,,,60000
CA10006003,2011/6/13,結案,士林,新安,四,29221,130,未經申請開挖整地,,,60000
CA10006004,2011/6/14,結案,北投,行義,一,444,2,未依核定計畫施工,,,60000
CA10006005,2011/6/16,結案,北投,泉源,二,553,210,未依核定計畫施工,,,60000
CA10006007,2011/6/29,結案,士林,菁山,二,174,162,未經申請開挖整地,,,60000
CA10006006,2011/6/29,結案,士林,翠山,一,254,1300,農業違規,,,0
CA10006008,2011/6/30,結案,北投,崇仰,二,207,72,未經申請開挖整地,,,60000
CA10007001,2011/7/11,結案,士林,華岡,四,181-2,750,未依核定計畫施工,,,80000
CA10007002,2011/7/15,結案,北投,秀山,三,82,410,未經申請開挖整地,,,60000
CA10008001,2011/8/1,續予處分,士林,新安,二,314,389,未經申請開挖整地,,,60000
CA10008006,2011/8/2,結案,中山,北安,四,125-1,3,未依核定計畫施工,,,60000
CA10008002,2011/8/9,結案,文山,老泉,三,221,20,未依核定計畫施工,,,60000
CA10008003,2011/8/16,結案,士林,平等,二,327,407,未經申請開挖整地,,,60000
CA10008004,2011/8/17,結案,士林,新安,四,501,230,未經申請開挖整地,,,60000
CA10008005,2011/8/22,結案,士林,新安,四,81,469,未依核定計畫施工,,,60000
CA10008007,2011/8/24,結案,士林,天玉,一,425,24,未依核定計畫施工,,,60000
CA10009001,2011/9/14,結案,士林,華岡,四,181,35,未經申請開挖整地,,,60000
CA10009002,2011/9/19,續予處分,士林,菁山,一,501,530,未依核定計畫施工,,,80000
CA10010001,2011/10/7,結案,士林,芝蘭,三,129,730,農業違規,,,0
CA10010002,2011/10/21,結案,士林,菁山,一,501,530,未依規定期限改正,,,100000
CA10010003,2011/10/27,結案,大安,辛亥,四,585,24,未經申請開挖整地,,,60000
CA10011001,2011/11/3,結案,士林,菁山,二,342,155,未經申請開挖整地,,,60000
CA10011002,2011/11/16,無改正事項,北投,崇仰,二,252,80,未經申請開挖整地,,,60000
CA10011003,2011/11/23,續予處分,北投,湖山,三,757,220,未經申請開挖整地,,,60000
CA10011004,2011/11/25,結案,南港,舊莊,二,314,50,未經申請開挖整地,,,60000
CA10011005,2011/11/29,結案,南港,大豐,一,165,84,堆積土石,,,60000
CA10012001,2011/12/27,結案,北投,湖山,三,738-1,727,超限利用,,,0
AF10012001,2011/12/29,結案,文山,萬芳,二,224,40,未依技術規範實施,,,0
CA10012002,2011/12/29,結案,士林,新安,二,314,389,未依規定期限改正,,,80000
AF10111002,2012/1/8,結案,內湖,東湖,五,;403-1;,210,未依技術規範實施,,,0
CA10101001,2012/1/18,結案,士林,平等,一,;346;,150,農業違規,,,0
CA10101002,2012/1/20,結案,內湖,碧湖,二,488,100,未經申請開挖整地,,,60000
CA10101003,2012/1/20,結案,士林,平等,三,;378;,80,未經申請開挖整地,,,60000
CA10102001,2012/2/21,結案,士林,翠山,二,;227;,0,未依規定期限改正,,,150000
CA10103001,2012/3/27,結案,北投,大屯,二,246,10,未依核定計畫施工,,,60000
CA10104001,2012/4/24,結案,內湖,碧山,三,;282;,90,堆積土石,,,60000
CA10105001,2012/5/1,結案,大安,辛亥,五,198-4,427,未依核定計畫施工,,,60000
CA10105002,2012/5/2,結案,北投,泉源,四,360,121,未依核定計畫施工,,,60000
CA10105003,2012/5/3,結案,士林,新安,二,;404;,40,未經申請開挖整地,,,60000
CA10105004,2012/5/11,結案,內湖,康寧,三,474,2750,未依核定計畫施工,,,150000
CA10105005,2012/5/24,結案,信義,犁和,一,509,1125,未經申請開挖闢路,,,100000
AF10106001,2012/6/16,結案,內湖,康寧,一,71,0,未依技術規範實施,,,0
CA10106001,2012/6/21,結案,士林,菁山,二,;233;,180,未經申請開挖整地,,,60000
AF10106002,2012/6/22,結案,大安,辛亥,五,;198-2;,5000,未依技術規範實施,,,0
CA10107001,2012/7/2,結案,內湖,東湖,五,369,28,未經申請開挖整地,,,60000
CA10107002,2012/7/4,結案,內湖,碧湖,四,;1034-3;,18,未依核定計畫施工,,,60000
CA10107003,2012/7/5,結案,文山,頭廷,四,77,204,未依核定計畫施工,,,60000
CA10107004,2012/7/10,結案,士林,天玉,一,135,25,未依核定計畫施工,,,60000
CA10109001,2012/9/4,續予處分,北投,崇仰,三,;227;,313,未依核定計畫施工,,,60000
CA10109002,2012/9/27,結案,內湖,碧山,二,654,471,未經申請開挖整地,,,60000
CA10109003,2012/9/28,續予處分,士林,至善,一,;162;,120,未依核定計畫施工,,,60000
CA10110001,2012/10/8,結案,文山,指南,二,284,42,農業違規,,,0
CA10110002,2012/10/9,結案,北投,新民,二,45747,165,未依核定計畫施工,,,60000
CA10110003,2012/10/11,結案,士林,翠山,一,;275;,400,農業違規,,,0
AF10111001,2012/11/8,結案,北投,泉源,二,;567;,20,未依技術規範實施,,,0
CA10111001,2012/11/15,結案,北投,崇仰,三,227,944,未依規定期限改正,,,100000
CA10111002,2012/11/16,結案,士林,至善,四,;695;,240,未依核定計畫施工,,,60000
CA10112001,2012/12/3,結案,士林,芝蘭,三,43,90,未依核定計畫施工,,,60000
CA10112002,2012/12/7,結案,士林,至善,四,692,180,未經申請開挖闢路,,,60000
CA10112003,2012/12/7,結案,士林,菁山,二,30,375,農業違規,,,0
AF10112001,2012/12/14,結案,北投,泉源,四,338-5,20,未依技術規範實施,,,0
CA10112004,2012/12/20,結案,士林,溪山,三,;184;,45,未經申請開挖整地,,,60000
CA10202001,2013/2/1,結案,士林,至善,四,696,7,未依核定計畫施工,,,60000
CA10202002,2013/2/6,結案,南港,舊莊,三,113,360,未經申請開挖整地,,,60000
AF10202001,2013/2/7,結案,北投,湖山,二,269-3,29,未依技術規範實施,,,0
CA10202003,2013/2/19,結案,北投,大屯,三,105-1,1800,未經申請開挖闢路,,,100000
CA10202005,2013/2/22,結案,北投,崇仰,二,554,123,未依核定計畫施工,,,60000
CA10202004,2013/2/22,結案,北投,新民,四,33239,216,未依核定計畫施工,,,60000
CA10203001,2013/3/25,結案,內湖,碧湖,一,118,303,未經申請開挖整地,,,60000
CA10204001,2013/4/9,結案,北投,湖山,三,691-2,200,未經申請開挖闢路,,,60000
CA10204002,2013/4/18,結案,內湖,碧湖,四,981,3,未依核定計畫施工,,,60000
CA10205001,2013/5/9,結案,士林,芝蘭,三,22,50,未依核定計畫施工,,,60000
CA10205002,2013/5/9,結案,士林,新安,五,448,1496,未依核定計畫施工,,,100000
CA10205003,2013/5/23,結案,內湖,碧山,二,;388;,51,未經申請開挖闢路,,,60000
AF10205002,2013/5/27,結案,內湖,文德,三,432,0,未依技術規範實施,,,0
AF10205001,2013/5/27,結案,內湖,大湖,三,218-1,1000,未依技術規範實施,,,0
CA10206001,2013/6/25,結案,北投,崇仰,二,;446-2;,272,未依核定計畫施工,,,60000
CA10206002,2013/6/26,結案,士林,天玉,一,;28;,150,未經申請開挖整地,,,60000
CA10207001,2013/7/8,結案,士林,新安,五,579,46,未依核定計畫施工,,,60000
CA10208001,2013/8/5,結案,士林,華岡,二,;254;,495,堆積土石,,,60000
CA10208002,2013/8/6,結案,士林,至善,一,200,950,未依核定計畫施工,,,80000
CA10208003,2013/8/6,結案,信義,犁和,一,448,25,未依核定計畫施工,,,60000
CA10208004,2013/8/8,續予處分,士林,天玉,一,;1102;,330,未經申請開挖整地,,,60000
AF10208001,2013/8/19,續予處分,北投,泉源,三,;506-3;,560,未依技術規範實施,,,0
AF10208002,2013/8/26,結案,文山,政大,三,137-1,225,未依技術規範實施,,,0
CA10208005,2013/8/29,結案,北投,崇仰,二,544,20,未依核定計畫施工,,,60000
CA10209001,2013/9/30,結案,士林,至善,四,209,225,未依核定計畫施工,,,60000
CA10210001,2013/10/1,結案,士林,天玉,一,;1102;,330,未依規定期限改正,,,80000
CA10210002,2013/10/7,結案,士林,平等,二,;73;,290,未經申請開挖整地,,,60000
CA10210003,2013/10/7,結案,士林,天玉,二,;3;,296,未經申請開挖整地,,,60000
CA10210004,2013/10/18,結案,北投,崇仰,一,45750,59,未依核定計畫施工,,,60000
CA10210005,2013/10/18,結案,南港,舊莊,一,;136;,160,未經申請開挖整地,,,60000
CA10210006,2013/10/18,結案,士林,新安,四,343-2,620,未經申請開挖整地,,,80000
AF10211001,2013/11/1,續予處分,士林,芝蘭,三,;126;,625,未依技術規範實施,,,0
CA10211001,2013/11/21,續予處分,士林,至善,一,;420;,300,堆積土石,,,60000
CA10211002,2013/11/26,結案,北投,泉源,三,506-3,157,未依規定期限改正,,,60000
CA10212001,2013/12/3,結案,內湖,康寧,三,481-2,122,未依核定計畫施工,,,60000
AF10212001,2013/12/3,結案,北投,大屯,三,;419;,750,未依技術規範實施,,,0
CA10212002,2013/12/6,結案,內湖,大湖,三,;182;,22,未經申請開挖整地,,,60000
CA10212003,2013/12/10,撤銷,北投,泉源,三,;506;,364,未經申請開挖整地,,,300000
CA10212004,2013/12/12,結案,士林,新安,四,;103;,200,未經申請開挖整地,,,60000
CA10212005,2013/12/16,結案,文山,公訓,三,378-1,18,未依核定計畫施工,,,60000
CA10212006,2013/12/20,結案,文山,博嘉,四,;631;,15,未經申請開挖整地,,,60000
CA10212007,2013/12/20,結案,士林,平等,二,;354;,100,未經申請開挖整地,,,60000
AF10212002,2013/12/25,結案,北投,泉源,三,;514-8;,100,未依技術規範實施,,,0
CA10212008,2013/12/27,結案,文山,指南,三,;751-2;,474,未經申請開挖整地,,,60000
CA10301001,2014/1/6,續予處分,北投,泉源,三,506,1100,未經申請開挖闢路,,,300000
CA10301002,2014/1/17,結案,士林,溪山,三,511,60,未經申請開挖整地,,,60000
CA10301003,2014/1/21,結案,文山,興安,四,336,15,未經申請開挖整地,,,60000
CA10301004,2014/1/24,無改正事項,信義,吳興,三,;;195-2;;,16,未經申請開挖整地,,,60000
CA10301005,2014/1/24,結案,士林,平等,三,616,45,未經申請開挖闢路,,,60000
AF10302001,2014/2/6,結案,內湖,碧湖,二,;651;,5000,未依技術規範實施,,,0
CA10302001,2014/2/7,結案,南港,麗山,四,;431;,420,未經申請開挖整地,,,60000
CA10302002,2014/2/7,結案,北投,湖田,二,;597-10;,42,未經申請開挖闢路,,,60000
CA10302003,2014/2/7,結案,士林,芝蘭,三,;126-5;,267,未依規定期限改正,,,60000
CA10302004,2014/2/13,結案,士林,翠山,一,17,850,未經申請開挖闢路,,,80000
CA10302005,2014/2/18,結案,士林,溪山,二,430-2,125,未經申請開挖闢路,,,60000
CA10302006,2014/2/21,結案,士林,新安,二,;563;,10,未經申請開挖闢路,,,60000
AF10302002,2014/2/21,結案,士林,新安,二,;551;,60,未依技術規範實施,,,0
CA10303001,2014/3/10,撤銷,內湖,碧湖,二,;651;,5000,未依規定期限改正,,,60000
CA10303002,2014/3/10,結案,士林,至善,一,;420;,300,未依規定期限改正,,,0
CA10303003,2014/3/19,結案,士林,平等,二,45778,123,未依核定計畫施工,,,60000
CA10303004,2014/3/20,結案,文山,頭廷,四,245,250,未依核定計畫施工,,,60000
AF10303001,2014/3/20,結案,文山,興泰,二,114-1,80,未依技術規範實施,,,0
CA10303005,2014/3/26,結案,內湖,大湖,三,217,228,未依核定計畫施工,,,60000
CA10304001,2014/4/10,結案,士林,天玉,一,;188-1;,200,未經申請開挖整地,,,60000
CA10305001,2014/5/2,續予處分,北投,泉源,三,;506;,1100,未依規定期限改正,,,300000
AF10305001,2014/5/8,結案,北投,泉源,三,;514-6;,30,未依技術規範實施,,,0
CA10305002,2014/5/9,結案,士林,平等,二,;514;,84,未經申請開挖闢路,,,60000
CA10305003,2014/5/15,續予處分,士林,天玉,一,;;24;;,746,未經申請開挖整地,,,80000
CA10306001,2014/6/5,結案,南港,舊莊,三,256-1,400,未依核定計畫施工,,,60000
CA10306002,2014/6/6,結案,士林,新安,四,;81-1;,140,未經申請開挖整地,,,60000
CA10306003,2014/6/26,結案,士林,至善,一,;162;,80,未依規定期限改正,,,60000
CA10307001,2014/7/3,無改正事項,文山,頭廷,二,;;493;;,30,未經申請開挖整地,,,60000
AF10307001,2014/7/15,結案,士林,至善,一,200,110,未依技術規範實施,,,0
CA10307002,2014/7/21,結案,內湖,大湖,三,313,20,堆積土石,,,60000
CA10308001,2014/8/1,結案,士林,至善,七,;201;,355,未經申請開挖整地,,,60000
AF10308001,2014/8/1,結案,內湖,碧山,二,;712;,250,未依技術規範實施,,,0
AF10308002,2014/8/4,結案,信義,永春,三,;59;,50,未依技術規範實施,,,0
CA10308002,2014/8/12,結案,北投,崇仰,二,499,175,未依核定計畫施工,,,60000
CA10308003,2014/8/25,結案,北投,奇岩,一,175,100,未依核定計畫施工,,,60000
CA10309001,2014/9/5,續予處分,文山,指南,四,509,88,未經申請開挖闢路,,,60000
CA10309002,2014/9/18,結案,士林,華岡,二,53,280,未經申請開挖整地,,,60000
AF10309001,2014/9/26,撤銷,文山,公訓,三,;;153;;,222,,,,0
AF10309002,2014/9/26,撤銷,文山,公訓,三,150,95,未依技術規範實施,,,0
CA10309003,2014/9/29,結案,北投,崇仰,二,553,191,未依核定計畫施工,,,60000
CA10309004,2014/9/29,結案,北投,奇岩,一,175,64,未依核定計畫施工,,,60000
CA10310001,2014/10/1,結案,文山,華興,二,972-1,39,未依核定計畫施工,,,60000
CA10310002,2014/10/2,結案,北投,泉源,三,506-14,1100,未依規定期限改正,,,300000
CA10310003,2014/10/8,結案,內湖,大湖,一,2,1950,未經申請開挖闢路,,,100000
CA10310004,2014/10/8,續予處分,北投,湖山,三,;757;,220,未依規定期限改正,,,80000
CA10310005,2014/10/13,續予處分,士林,天玉,一,;24;,746,未依規定期限改正,,,100000
CA10310006,2014/10/13,結案,士林,天玉,一,61,30,未經申請開挖整地,,,60000
CA10310007,2014/10/14,結案,內湖,文德,二,;108-1;,400,未經申請開挖整地,,,60000
AF10310001,2014/10/14,結案,南港,舊莊,一,;254;,500,未依技術規範實施,,,0
CA10310008,2014/10/15,結案,文山,老泉,三,115,150,未經申請開挖闢路,,,60000
AF10310002,2014/10/27,結案,南港,舊莊,三,;292-2;,700,未依技術規範實施,,,0
CA10310009,2014/10/29,結案,文山,頭廷,四,104,20,未依核定計畫施工,,,60000
CA10311001,2014/11/3,結案,文山,頭廷,二,161,74,未經申請開挖闢路,,,60000
CA10311002,2014/11/19,無改正事項,內湖,文德,三,;318;,488,未經申請開挖整地,,,60000
AF10311001,2014/11/28,續予處分,士林,菁山,二,;122;,600,未依技術規範實施,,,0
CA10401001,2015/1/13,結案,士林,天玉,一,24,746,未依規定期限改正,,,150000
CA10401002,2015/1/14,結案,文山,指南,四,509,88,未依規定期限改正,,,80000
AF10401001,2015/1/22,續予處分,北投,新民,四,;221;,450,未依技術規範實施,,,0
CA10401009,2015/1/23,結案,大安,辛亥,四,;559;,180,未經申請開挖整地,,,60000
CA10401004,2015/1/27,結案,內湖,碧山,二,701,150,未經申請開挖整地,,,60000
CA10401005,2015/1/29,結案,士林,天玉,一,;;135;;,356,未經申請開挖整地,,,60000
CA10401006,2015/1/29,結案,北投,新民,四,221,1147,未經申請開挖整地,是,2017/2/2,100000
CA10401007,2015/1/29,結案,北投,行義,一,428,39,未依核定計畫施工,,,60000
CA10401008,2015/1/29,結案,內湖,文德,三,432,184,未依核定計畫施工,,,60000
CA10402001,2015/2/6,結案,北投,湖山,三,;757;,220,未依規定期限改正,,,100000
CA10403001,2015/3/12,結案,內湖,東湖,六,524,350,未依核定計畫施工,,,60000
CA10403002,2015/3/16,結案,士林,菁山,二,122,480,未依技術規範實施,,,60000
CA10403003,2015/3/16,結案,士林,華岡,二,248,165,未依核定計畫施工,,,60000
CA10403004,2015/3/24,結案,文山,萬芳,二,;;302;;,300,未經申請開挖整地,,,60000
CA10403005,2015/3/27,結案,內湖,西湖,二,348,60,未依核定計畫施工,,,60000
CA10403006,2015/3/30,結案,士林,至善,四,136,124,未依核定計畫施工,,,60000
AF10404001,2015/4/9,結案,內湖,大湖,一,;2;,1950,未依技術規範實施,,,0
CA10404001,2015/4/14,結案,南港,中南,一,441,190,未依核定計畫施工,,,60000
CA10404002,2015/4/17,結案,內湖,康寧,一,298,5,未依核定計畫施工,,,60000
CA10404003,2015/4/21,結案,北投,大屯,四,;430;,1880,未經申請開挖整地,,,100000
CA10404004,2015/4/23,結案,士林,新安,四,343-1,300,未經申請開挖整地,,,60000
CA10404005,2015/4/27,結案,北投,湖山,一,32,113,未依核定計畫施工,,,60000
CA10404006,2015/4/29,結案,士林,溪山,三,;229;,100,未經申請開挖整地,,,60000
CA10405001,2015/5/12,結案,文山,萬芳,二,601,930,未依核定計畫施工,,,80000
CA10405002,2015/5/21,結案,南港,舊莊,三,56,108,未經申請開挖整地,,,60000
CA10405003,2015/5/27,結案,士林,菁山,二,30,90,未經申請開挖闢路,,,60000
CA10405004,2015/5/28,結案,士林,平等,三,;616;,45,未經申請開挖闢路,,,60000
AF10406001,2015/5/28,結案,士林,天玉,一,26,746,未依技術規範實施,,,0
CA10406001,2015/6/3,結案,士林,新安,四,;103;,200,未經申請開挖整地,,,60000
CA10406002,2015/6/4,結案,內湖,康寧,三,431-3,99,未依核定計畫施工,,,60000
CA10406003,2015/6/4,結案,北投,湖山,三,;;681;;,158,未經申請開挖整地,,,60000
CA10406004,2015/6/8,結案,大安,辛亥,五,138-1,2762,未依核定計畫施工,,,150000
CA10406005,2015/6/15,撤銷,內湖,碧山,一,;150;,660,未經申請開挖闢路,,,80000
CA10406006,2015/6/16,結案,士林,新安,三,329,160,未依核定計畫施工,,,60000
AF10406002,2015/6/30,結案,中山,北安,一,72,1000,未依技術規範實施,,,0
CA10407001,2015/7/14,結案,內湖,石潭,三,118,32,未依核定計畫施工,,,60000
CA10407002,2015/7/29,結案,內湖,西湖,二,347-1,42,未依核定計畫施工,,,60000
CA10407003,2015/7/30,結案,士林,芝蘭,三,140,9,未依核定計畫施工,,,60000
CA10408001,2015/8/3,結案,內湖,文德,三,318,1480,未依核定計畫施工,,,100000
CA10408002,2015/8/10,結案,北投,泉源,三,166,118,未經申請開挖闢路,,,60000
CA10408003,2015/8/13,結案,文山,興泰,三,531,250,未依核定計畫施工,,,60000
AF10408001,2015/8/14,結案,文山,興泰,二,32,1000,未依技術規範實施,,,0
CA10408004,2015/8/19,結案,士林,華岡,一,511,70,未經申請開挖整地,,,60000
CA10408005,2015/8/21,撤銷,內湖,大湖,三,245,1086,未經申請開挖闢路,,,100000
CA10408006,2015/8/28,續予處分,文山,老泉,三,;325;,112,未依核定計畫施工,,,60000
CA10409001,2015/9/17,撤銷,內湖,文德,三,;318;,1480,未依規定期限改正,,,150000
CA10409002,2015/9/17,結案,南港,舊莊,二,;61;,600,未經申請開挖整地,,,80000
CA10410001,2015/10/6,結案,士林,華岡,二,;53;,280,未經申請開挖整地,,,60000
AF10410001,2015/10/7,續予處分,士林,溪山,三,;263;,450,未依技術規範實施,,,0
CA10410002,2015/10/13,結案,文山,老泉,三,325,112,未依規定期限改正,,,80000
AF10410002,2015/10/15,結案,中山,北安,四,;44;,487,未依技術規範實施,,,0
CA10411001,2015/11/3,結案,內湖,碧山,二,;532;,50,超限利用,,,0
EA10411001,2015/11/24,無改正事項,南港,麗山,二,254,883,未經申請開挖闢路,,,80000
EA10412001,2015/12/17,結案,士林,平等,二,388,125,未經申請開挖整地,,,60000
EA10411002,2015/12/25,結案,北投,大屯,三,413-6,450,未依核定計畫施工,,,60000
EA10309001,2015/12/30,結案,文山,華興,二,971-4,4,未依核定計畫施工,,,60000
EA10412002,2015/12/30,結案,士林,溪山,三,263,450,未依規定期限改正,,,60000
HA10407001,2016/1/8,無改正事項,內湖,文德,三,;318;,1480,未依規定期限改正,,,150000
EA10501001,2016/1/26,續予處分,文山,頭廷,三,;;218;;,80,未依核定計畫施工,,,60000
EA10501002,2016/2/3,結案,北投,大屯,三,279,42,未依核定計畫施工,,,60000
EA10502001,2016/2/18,結案,內湖,西湖,二,134,600,未經申請開挖闢路,,,80000
EA10308001,2016/2/22,結案,北投,崇仰,二,499,62,未依核定計畫施工,,,60000
EA10502002,2016/2/23,續予處分,北投,湖山,三,;;640-2;;,45,未依核定計畫施工,,,60000
EA10408004,2016/3/9,無改正事項,內湖,碧山,一,;150;,180,未經申請開挖闢路,,,60000
EA10502003,2016/3/9,結案,士林,華岡,四,181,711,未依核定計畫施工,,,80000
AF10503001,2016/3/17,結案,內湖,大湖,三,;459;,25,未依技術規範實施,,,0
AF10503002,2016/3/17,結案,士林,新安,六,;329;,120,未依技術規範實施,,,0
EA10503001,2016/4/6,結案,士林,至善,二,148,25,未依核定計畫施工,,,60000
EA10503002,2016/4/8,結案,士林,至善,四,;611;,308,未經申請開挖整地,,,60000
EA10504002,2016/4/11,結案,北投,湖山,一,670-2,307,未依核定計畫施工,,,60000
EA10504001,2016/4/11,結案,北投,崇仰,二,240,14,未依核定計畫施工,,,60000
EA10504003,2016/4/20,結案,北投,崇仰,二,226,23,未依核定計畫施工,,,60000
AF10504001,2016/4/20,結案,內湖,碧山,二,;549;,57,未依技術規範實施,,,0
EA10504004,2016/4/25,結案,北投,大屯,二,399,30,未依核定計畫施工,,,60000
AF10505001,2016/5/23,結案,南港,麗山,二,254,883,未依技術規範實施,,,0
EA10502002_1,2016/5/27,結案,北投,湖山,三,644,45,未依規定期限改正,,,80000
EA10505001,2016/5/30,結案,士林,平等,二,60,75,未經申請開挖整地,,,60000
EA10505002,2016/6/1,結案,士林,天玉,一,;135;,268,未經申請開挖整地,,,60000
EA10505003,2016/6/3,結案,北投,泉源,三,178,815,未依核定計畫施工,,,80000
AF10506001,2016/6/4,結案,南港,舊莊,二,;24;,54,未依技術規範實施,,,0
EA10501001_1,2016/6/4,結案,文山,頭廷,三,218,80,未依規定期限改正,,,60000
EA10401005,2016/6/20,結案,內湖,文德,三,432-1,184,未依核定計畫施工,,,80000
EA10506003,2016/6/22,結案,內湖,東湖,六,416,160,未依核定計畫施工,,,60000
EA10506002,2016/6/24,結案,士林,平等,二,;73;,200,未經申請開挖整地,是,2018/6/29,60000
EA10506004,2016/6/24,結案,文山,頭廷,四,;98;,177,堆積土石,,,60000
EA10507001,2016/7/27,續予處分,士林,翠山,二,609,492,未經申請開挖闢路,,,60000
EA10508001,2016/8/23,結案,內湖,碧山,二,299,36,未經申請開挖整地,,,60000
AF10510001,2016/10/3,結案,大安,辛亥,四,;558-5;,45,未依技術規範實施,,,0
AF10510002,2016/10/5,結案,士林,平等,一,;201-1;,45,未依技術規範實施,,,0
EA10510001,2016/10/12,結案,士林,平等,三,605,100,未依核定計畫施工,,,60000
AF10510003,2016/10/13,結案,士林,平等,二,22068,40,未依技術規範實施,,,0
EA10510002,2016/11/4,結案,南港,大豐,三,708-5,66,未依核定計畫施工,,,60000
EA10507001_1,2016/11/7,撤銷,士林,翠山,二,620,492,未依規定期限改正,,,80000
EA10511001,2016/11/16,結案,南港,舊莊,三,;112;,104,未經申請開挖整地,,,60000
EA10511002,2016/11/24,結案,南港,舊莊,二,101,319,未經申請開挖闢路,,,60000
AF10512001,2016/12/5,結案,內湖,文德,二,;183;,1,未依技術規範實施,,,0
EA10511003,2016/12/8,結案,內湖,碧湖,三,339-3,225,未經申請開挖整地,,,60000
EA10309003,2016/12/20,無改正事項,南港,舊莊,一,254,500,堆積土石,,,60000
EA10601001,2017/1/17,結案,士林,新安,四,198,220,未經申請開挖整地,,,60000
AF10601001,2017/1/18,結案,士林,至善,一,477-5,406,未依技術規範實施,,,0
HA10601001,2017/1/24,結案,南港,中南,一,430,170,未依核定計畫施工,,,60000
EA10601002,2017/1/25,結案,北投,湖山,二,105,7,未依核定計畫施工,,,60000
AF10602001,2017/2/2,結案,南港,大豐,一,;306;,198,未依技術規範實施,,,0
EA10601003,2017/2/7,結案,北投,秀山,三,385,28,未經申請開挖整地,,,60000
HA10602001,2017/2/8,結案,士林,溪山,一,;651;,450,未經申請開挖整地,,,60000
EA10601004,2017/2/14,結案,士林,新安,三,347,15,未依核定計畫施工,,,60000
EA10601005,2017/2/15,結案,內湖,大湖,一,259,360,未經申請開挖闢路,,,60000
EA10405001,2017/2/15,結案,文山,萬芳,二,598,644,未依核定計畫施工,,,80000
FA10602001,2017/2/17,結案,士林,新安,二,;311;,34,未經申請開挖整地,,,60000
AF10603001,2017/3/1,結案,文山,指南,三,;548-2;,43,未依技術規範實施,,,0
EA10602001,2017/3/9,結案,士林,溪山,二,15707,187,未經申請開挖闢路,,,60000
EA10507001_2,2017/3/9,續予處分,士林,翠山,二,620-1,492,未依規定期限改正,,,60000
FA10602002,2017/3/10,結案,士林,芝蘭,二,572-1,381,未經申請開挖整地,,,60000
AF10603002,2017/3/13,結案,南港,舊莊,一,;130;,250,未依技術規範實施,,,0
EA10603001,2017/3/15,結案,北投,泉源,三,;304-1;,300,未經申請開挖整地,,,60000
EA10603002,2017/3/16,結案,士林,新安,五,;772;,35,未經申請開挖整地,,,60000
EA10603003,2017/3/31,結案,內湖,文德,二,108-1,88,未經申請開挖整地,是,2019/4/10,60000
EA10604001,2017/4/13,續予處分,士林,新安,五,;466;,955,未經申請開挖整地,,,80000
EA10604002,2017/5/1,結案,士林,華岡,四,;181;,358,未經申請開挖闢路,是,2019/5/3,60000
