項次編號,分類,行政區代碼,分隊名稱,巷道名稱,寬度,備註
80,紅區,63000100,內湖分隊,新明路475巷,3.1,
81,紅區,63000100,內湖分隊,內湖路1段715巷,3.1,
82,紅區,63000100,內湖分隊,內湖路2段179巷3弄,3.7,
83,紅區,63000060,延平分隊,太原路23巷,3.6,
84,黃區,63000030,金華分隊,永康街7巷(信義路2段198巷至信義路2段228巷),4.7,
85,紅區,63000060,延平分隊,鄭州路29巷,3.8,
86,紅區,63000060,延平分隊,天水路51巷,3.1,
87,紅區,63000060,延平分隊,重慶北路1段89巷,3,
88,紅區,63000060,延平分隊,太原路76巷,2.7,
89,黃區,63000030,金華分隊,金山南路2段159巷,4.3,
90,黃區,63000030,金華分隊,金山南路2段185巷,4.6,
91,黃區,63000060,大同分隊,重慶北路2段97巷,4.6,
92,紅區,63000060,大同分隊,延平北路4段147巷,2.9,
93,黃區,63000030,金華分隊,建國南路1段286巷,4.3,
94,黃區,63000030,金華分隊,泰順街50巷,4.7,
95,紅區,63000060,大同分隊,蘭州街124巷,3.2,
96,黃區,63000110,天母分隊,中山北路7段232巷19弄,4.8,
97,紅區,63000110,天母分隊,中山北路7段114巷34弄,3.3,
98,黃區,63000030,金華分隊,新生南路1段145巷,5.1,
99,黃區,63000030,金華分隊,新生南路1段151巷,4.65,
100,紅區,63000110,社子分隊,葫蘆街11巷,3.5,
101,紅區,63000110,劍潭分隊,安平街,3,
102,紅區,63000110,雙溪分隊,故宮路15巷,3.5,
103,黃區,63000030,金華分隊,潮州街60巷,4.6,
104,黃區,63000030,金華分隊,羅斯福路2段81巷(羅斯福路2段至同巷16弄),4.7,
105,紅區,63000110,雙溪分隊,德行東路46巷4弄,4,
106,紅區,63000120,石牌分隊,明德路331巷,3.8,
107,黃區,63000030,金華分隊,和平東路1段183巷3弄,4.1,
108,紅區,63000120,光明分隊,中正街49巷31弄,3.9,
109,紅區,63000120,光明分隊,大同街125巷,3.8,
110,紅區,63000120,秀山分隊,中華街,3.7,
111,紅區,63000120,秀山分隊,稻香路73巷,3.1,
112,紅區,63000050,泉州分隊,汀州路2段12巷,3.4,
113,紅區,63000050,泉州分隊,愛國東路74巷,3.6,
114,紅區,63000050,城中分隊,中華路1段9巷,3.5,
