序號,年度,縣市,縣市代碼,路口名,筆數
1,110,臺北市,63000,汀州路與羅斯福路口,71
2,110,臺北市,63000,民族東路與龍江路口,51
3,110,臺北市,63000,裕民一路與裕民二路口,51
4,110,臺北市,63000,北平東路與杭州北路口,49
5,110,臺北市,63000,大南路與基河路口,39
6,110,臺北市,63000,信義路與建國南路口,32
7,110,臺北市,63000,汀州路與思源街口,29
8,110,臺北市,63000,武成街與環河南路口,20
9,110,臺北市,63000,迪化街與歸綏街口,20
10,110,臺北市,63000,承德路與通河街口,19
