序號,年度,縣市,縣市代碼,路口名,筆數
1,112,臺北市,63000,裕民一路與裕民二路口,196
2,112,臺北市,63000,汀州路與羅斯福路口,105
3,112,臺北市,63000,林森北路與錦州街口,95
4,112,臺北市,63000,裕民二路與裕民三路口,59
5,112,臺北市,63000,忠孝東路與興中路口,54
6,112,臺北市,63000,桂林路與環河南路口,47
7,112,臺北市,63000,"民族東路與龍江路口
中華路與無名巷口",39
8,112,臺北市,63000,興中路與興華路口,33
9,112,臺北市,63000,通化街與臨江街口,32
10,112,臺北市,63000,和平東與新生南路口,31
