年度,災害名稱,成立時間,撤除時間,災情
101,天秤(Tembin)颱風(中度) -101年第14號颱風,"101年8月27日14時(二級開設)
101年8月27日22時(一級開設)",101年8月28日15時,"一、中央氣象於於8月21日14:30發布海上颱風警報，本市各級災害應變中心於22日8時二級開設，由消防、警察、工務、環保、交通、產業、民政、教育、研考、人事、觀傳、媒體事務、都發、後指、憲兵202等15單位進駐應變。
二、召開1次災害防救會報(8月28日7:30)
三、受理案件：45件。
電力停電2(件)。
道路受損2(件)。
路樹傾倒1(件)。
交通號誌損壞8(件)。
路燈故障19(件)。
其他13(件)。"
101,杰拉華Jelawat)颱風(強烈) -101年第17號颱風,101年9月27日20時(二級開設),101年9月28日13時,"一、未發布陸上警戒，中央氣象局於9月27日17時30分警報單將臺北市列入大豪雨警戒區。
二、召開1次災害防救會報(9月27日20:30)
三、受理案件：19件。
道路受損2(件)。
路樹傾倒2(件)。
交通號誌損壞5(件)。
路燈故障6(件)。
招牌掉落1(件)。
其他3(件)。"
102,0511水災,102年5月11日7時45分(二級開設),102年5月11日11時,"中央氣象局於5月11日清晨5時28分對本市發布大豪雨特報，11日6時45分評估本市已達成立水災災害應變中心二級開設標準，立即報請市長同意本市各級災害應變中心於11日7時45分成立二級開設。
一、7:45本市水災災害應變中心二級開設，由消防警察工務環保交通產業民政教育研考後指憲兵202等15單位進駐應變。
二、召開1次災害防救會報(5月11日8時)。
三、受理案件62件。
電力停電3(處)。
瓦斯漏氣1(處)。
道水積水33(處)。
坍方(落石)4(件)。
路樹倒塌18(處)。
其它3(件)。"
102,蘇力(Soulik)颱風(強烈) -102年第7號颱風,"102年7月11日14時(二級開設)
102年7月11日20時(一級開設)
102年7月13日18時(二級)",102年7月13日23時,"(7月12日14時起停止上班上課)
一、開設災害應變中心：中央氣象局於7月11日8時30分發布海上颱風警報，本府為有效因應處置颱風可能災情，於7月11日14時成立市及區級災害應變中心二級開設，並於7月11日20時提升一級開設，於13日18時縮小為二級開設，於同日23時撤除，回復平時三級常設機制，並指示相關單位於撤除後成立緊急應變小組加速復原工作，總計開設共57小時。
二、召開災害防救會報：陳副市長於7月10日先行召開「災前整備會議」；另由市長或應變中心輪值指揮官分別於7月11日14時30分、21時及7月12日16時及7月13日9時召開4次災害防救會報，指示做好各項整備及應變措施。
三、受理案件：4,267件。
人員傷亡重傷2(名)。
人員傷亡輕傷11(名)
房屋半倒15(件)。
電力停電888(件)。 
電信停話4(件)。
瓦斯漏氣5(件)。
自來水停水48(件)。
積水區9(件)。
房屋淹水13(件)。
坍方（落石）5件。
道路受損7(件)。
路樹傾倒1883(件)。
電線(桿)損壞236(件)。
交通號誌損壞109(件)。
路燈故障95(件)。
招牌掉落382(件)
火警搶救4(件)
其他551件。"
102,潭美(Trami)颱風(輕度) -102年第12號颱風,"102年8月20日14時(二級開設)
102年8月20日20時(一級開設)",102年8月22日7時30分,"(8月21日停止上班上課)
一、開設災害應變中心：中央氣象局於8月20日11時30分發布海上颱風警報，本府為有效因應處置颱風可能災情，於8月20日14時成立市及區級災害應變中心二級開設，並於8月20日20時提升一級開設，於8月22日7時30分撤除，回復平時三級常設機制，共計開設41.5小時。
二、召開災害防救會報：消防局廖局長8月20日14時先行召「災前整備會議」；另由市長分別於8月20日21、8月21日9時(總統視訊會議)及21時召開3次災害防救會報，指示做好各項整備及應變措施。
三、受理案件：243件。
人員傷亡輕傷1(名)
電力停電16(件)。 
瓦斯漏氣1(件)。
自來水停水3(件)。
積水區30(件)。
房屋淹水22(件)。
坍方(落石)8件。
道路受損28(件)。
路樹傾倒37(件)。
交通號誌損壞15(件)。
路燈故障38(件)。
電線(桿)損壞236(件)。
招牌掉落4(件)
其他34件。"
102,0823水災,102年8月23日16時(二級開設),102年8月23日19時30分,"因應潭美颱風外圍環流水氣旺盛，加上受鋒面影響，導致旺盛對流降雨而成立＂午後熱力作用，導致旺盛熱對流強降雨而成立，共受理案件119件。
道路淹水76(件)。
房屋淹水12(件)。
坍方(落石)3件。
道路受損6(件)。
交通號誌損壞2(件)
路燈故障6(件)。 
招牌掉落1(件)。
其他10(件)。"
102,康芮(Kong-Rey)颱風(輕度)-102年第15號颱風,"102年8月28日17時(二級開設)
102年8月29日8時(一級開設)",102年8月29日17時30分,"康芮颱風於28日11時30分發布海上陸上警報，於14時30分將臺北納入陸上警戒區，本市於警報期間僅零星降水計10件零星災情，未發生重大災情，中南部受其引進西南氣流，29日清晨路續降下強降雨(均達超大豪雨標準)，淹水災情慘重。
道路淹水1(件)。
坍方(落石)1件。
電力停電1(件)。
路燈故障6(件)。 
招牌掉落3(件)。
其他3(件)。"
102,0831水災,102年8月31日22時(二級開設),102年9月1日5時,"因應潭美颱風外圍環流水氣旺盛，加上午後熱力作用，導致旺盛熱對流強降雨而成立。 
受理案件：28件。
停電4(件)。
積水區6(件)。
房屋淹水1(件)。
坍方(落石)1件。
道路受損3(件)。
路樹傾倒2(件)。
交通號誌損壞2(件)
電線桿1(件)。
其他8(件)"
102,菲特(Fitow)颱風(中度) -102年第23號颱風,"102年10月5日14時(二級開設)
102年10月5日20時(一級開設)",102年10月7日3時,"一、開設災害應變中心：中央氣象局於10月4日23時30 分發布海上颱風警報，於5日14時30分發布海上陸上颱風警報(將本市納為陸上警戒區及超大豪雨)，本府為有效因應處置颱風可能災情，於10月5日14時成立市及區級災害應變中心二級開設，並於10月5日20時提升一級開設，於10月7日3時撤除，回復平時三級常設機制，共計開設37小時。
二、召開災害防救會報：消防局廖局長10月5日14時40分召開第1次災害防救會報;另由市長分別於10月5日16時(配合總統視訊會議)召開2次災害防救會報，指示做好各項整備及應變措施。
三、受理案件：178件。
電力停電18(件)。 
積水區6(件)。
房屋淹水1(件)。
道路受損7(件)。
路樹傾倒47(件)。
交通號誌損壞24(件)。
路燈故障27(件)。
電線(桿)損壞2(件)。
招牌掉落22(件)
其他24件。
四、特殊災情：三腳渡停車場及百齡橋堤外停車場於6日11時20分左右受大潮影響致拖吊不及造成部分車輛泡水，淹水深度最高處達50公分，依交通局統計資料計有百齡堤外槌球場停車場、三腳渡堤外停車場及基隆河劍潭抽水站堤外停車場除民眾自行駛離外，警察局協助移置汽車28輛、機車19輛，另現場計有汽車28輛、機車15輛可能受水損無法移置。"
103,0520水災,103年5月20日23時30分(二級開設),103年5月21日4時30分,"受理案件：121件
電力停電1件
道路淹水55件
房屋淹水31件
坍方(落石)3件
道路受損3件
路樹傾倒3件
交通號誌損壞10件
路燈故障9件
其他6件"
