序號,行政區,登山步道路線,總長M,單程步行時間min,步道分級,起點,起點經度座標,起點緯度座標,起點是否為階梯,迄點,迄點經度座標,迄點緯度座標,迄點是否為階梯,步道口是否有路擋,是否適合輪椅通行,輪椅可通行段平均坡度,輪椅可通行段長度M,行動電話通訊情形,是否有流動廁所,流動廁所位置,是否為無障礙廁所
51,士林區,雙溪國小步道,330,20,親子級,雙溪國小旁步道口,121.5637,25.1061,否,明溪街31號往國小步道口,121.5646,25.1057,是,否,是,3%-5%,60,可,否,無,無
52,士林區,雙溪溝古道,900,35,親子級,萬溪右線產業道路,121.5987,25.1308,是,五指山產業道路,121.603,25.1259,是,否,否,無,0,可,否,無,無
53,士林區,五指山古道,3000,120,親子級,梅花山,121.5869,25.1118,是,大崙頭北面步道叉路口,121.603,25.1259,是,否,否,無,0,可,否,無,無
54,北投區,忠義山步道,850,70,親子級,忠義廟,121.4783,25.1373,是,親山步道打印台,121.4775,25.1428,是,否,否,無,0,可,否,無,無
55,北投區,楓丹白露步道,450,35,親子級,忠義山打印台,121.4771,25.143,是,楓丹白露社區前入口意象,121.4748,25.141,是,否,否,無,0,可,否,無,無
56,北投區,下青礐步道,1727,60,親子級,貴子坑水保教室前,121.4938,25.152,是,下青礐(復興三路),121.4962,25.1622,是,否,否,無,0,可,否,無,無
57,北投區,貴子坑步道,1330,70,親子級,親山步道打印台,121.4938,25.1579,是,貴子坑露營場對面步道口,121.4905,25.153,是,否,否,無,0,可,否,無,無
58,北投區,上清宮步道,880,70,親子級,復興三路212號,121.5042,25.1506,是,中清礐,121.5039,25.1537,是,否,否,無,0,可,否,無,無
59,北投區,永春寮步道,760,45,親子級,復興三路300巷底,121.5055,25.1523,是,上清宮對面水泥橋,121.5068,25.1544,是,否,否,無,0,可,否,無,無
60,北投區,永春寮溪步道,350,35,親子級,上清宮旁步道口,121.5052,25.1527,是,復興三路310巷步道口,121.5052,25.1554,是,否,否,無,0,可,否,無,無
61,北投區,白宮山莊步道,520,45,親子級,復興四路105巷10號,121.5027,25.1454,是,復興三路白宮山莊,121.5045,25.1488,是,否,否,無,0,可,是,迄點,否
62,北投區,郵政訓練所步道,906,70,親子級,登山路61號,121.514,25.1479,是,郵政訓練中心(含入口意象範圍),121.51,25.1426,是,否,否,無,0,可,否,無,無
63,北投區,法雨寺步道,924,45,親子級,泉源產業道路,121.514,25.1452,是,登山路40號至墓園邊200m,121.5172,25.1469,是,否,否,無,0,可,否,無,無
64,北投區,中正山親山步道,180,15,親子級,登山路立祥商店步道口,121.5201,25.1501,是,立祥商店步道口前行180m,121.5201,25.151,是,否,否,無,0,可,否,無,無
65,北投區,中正山嶺頭步道,800,100,親子級,拓印亭對面步道口,121.5137,25.1499,是,中正山停車場步道口,121.5114,25.1559,是,否,否,無,0,可,否,無,無
66,北投區,青楓步道,300,25,親子級,大梯田旁步道口,121.5293,25.1715,是,竹子湖產業道路2K+650,121.5307,25.1711,是,否,否,無,0,可,否,無,無
