序號,年度,縣市,縣市代碼,路段名,筆數
1,110,臺北市,63000,敦化南路二段,1987
2,110,臺北市,63000,敦化南路一段,1718
3,110,臺北市,63000,忠孝東路四段,1579
4,110,臺北市,63000,長春路,1486
5,110,臺北市,63000,忠孝東路五段,1211
6,110,臺北市,63000,八德路四段,1103
7,110,臺北市,63000,林森北路,972
8,110,臺北市,63000,松山路,962
9,110,臺北市,63000,成都路,942
10,110,臺北市,63000,民生西路,894
