序號,年度,縣市,縣市代碼,路段名,筆數
1,112,臺北市,63000,敦化南路二段,1864
2,112,臺北市,63000,敦化南路一段,1542
3,112,臺北市,63000,忠孝東路四段,1418
4,112,臺北市,63000,八德路四段,1283
5,112,臺北市,63000,鄭州路,1082
6,112,臺北市,63000,忠孝東路五段,1030
7,112,臺北市,63000,成都路,898
8,112,臺北市,63000,長春路,873
9,112,臺北市,63000,松隆路,817
10,112,臺北市,63000,博愛路,809
