序號,年度,縣市,縣市代碼,路段名,筆數
1,111,臺北市,63000,忠孝東路四段,2089
2,111,臺北市,63000,敦化南路一段,2048
3,111,臺北市,63000,敦化南路二段,2042
4,111,臺北市,63000,忠孝東路五段,1292
5,111,臺北市,63000,八德路四段,1233
6,111,臺北市,63000,長春路,1152
7,111,臺北市,63000,松隆路,984
8,111,臺北市,63000,松山路,922
9,111,臺北市,63000,成都路,843
10,111,臺北市,63000,博愛路,831
