時間,區,村里,村里代碼,年齡區間,性別,案件類型,總計
105年1月,士林區,不明,不明,12-未滿18歲,2,兒少保護,1
105年1月,士林區,不明,不明,12-未滿18歲,1,兒少保護,1
105年1月,士林區,不明,不明,18-未滿20歲,2,其他家虐,2
105年1月,士林區,不明,不明,20-未滿40歲,2,其他家虐,5
105年1月,士林區,不明,不明,20-未滿40歲,2,非保護性案件,1
105年1月,士林區,不明,不明,20-未滿40歲,2,婚姻暴力,12
105年1月,士林區,不明,不明,20-未滿40歲,1,其他家虐,5
105年1月,士林區,不明,不明,40-未滿65歲,2,其他家虐,2
105年1月,士林區,不明,不明,40-未滿65歲,2,非保護性案件,1
105年1月,士林區,不明,不明,40-未滿65歲,2,婚姻暴力,16
105年1月,士林區,不明,不明,40-未滿65歲, ,婚姻暴力,1
105年1月,士林區,不明,不明,40-未滿65歲,1,非保護性案件,2
105年1月,士林區,不明,不明,40-未滿65歲,1,婚姻暴力,4
105年1月,士林區,不明,不明,65歲以上,2,老人虐待,2
105年1月,士林區,不明,不明,65歲以上,2,婚姻暴力,2
105年1月,士林區,不明,不明,65歲以上,1,老人虐待,1
105年1月,士林區,不明,不明,65歲以上,1,婚姻暴力,3
105年1月,士林區,不明,不明,6-未滿12歲,2,非保護性案件,1
105年1月,士林區,不明,不明,6-未滿12歲,1,兒少保護,1
105年1月,士林區,天山里,63000110040,40-未滿65歲,2,婚姻暴力,1
105年1月,士林區,天山里,63000110040,6-未滿12歲,2,非保護性案件,1
105年1月,士林區,天和里,63000110039,20-未滿40歲,2,婚姻暴力,1
105年1月,士林區,天祿里,63000110037,40-未滿65歲,1,其他家虐,1
105年1月,士林區,平等里,63000110048,20-未滿40歲,1,其他家虐,1
105年1月,士林區,永倫里,63000110022,40-未滿65歲,1,婚姻暴力,1
105年1月,士林區,岩山里,63000110025,65歲以上,1,婚姻暴力,1
105年1月,士林區,忠誠里,63000110030,40-未滿65歲,2,非保護性案件,1
105年1月,士林區,忠誠里,63000110030,40-未滿65歲,1,非保護性案件,1
105年1月,士林區,承德里,63000110012,20-未滿40歲,2,婚姻暴力,1
105年1月,士林區,社園里,63000110021,20-未滿40歲,2,非保護性案件,1
105年1月,士林區,社新里,63000110020,40-未滿65歲,1,其他家虐,1
105年1月,士林區,芝山里,63000110031,18-未滿20歲,2,非保護性案件,1
105年1月,士林區,後港里,63000110008,20-未滿40歲,2,婚姻暴力,1
105年1月,士林區,富光里,63000110016,40-未滿65歲,2,婚姻暴力,1
105年1月,士林區,聖山里,63000110029,40-未滿65歲,2,其他家虐,1
105年1月,士林區,聖山里,63000110029,65歲以上,1,老人虐待,1
105年1月,士林區,福安里,63000110023,40-未滿65歲,2,其他家虐,1
105年1月,士林區,福志里,63000110005,20-未滿40歲,2,婚姻暴力,1
105年1月,士林區,德華里,63000110028,20-未滿40歲,2,婚姻暴力,1
105年1月,大同區,不明,不明,20-未滿40歲,2,其他家虐,4
105年1月,大同區,不明,不明,20-未滿40歲,2,非保護性案件,1
105年1月,大同區,不明,不明,20-未滿40歲,2,婚姻暴力,7
105年1月,大同區,不明,不明,20-未滿40歲, ,婚姻暴力,1
105年1月,大同區,不明,不明,20-未滿40歲,1,其他家虐,3
105年1月,大同區,不明,不明,20-未滿40歲,1,婚姻暴力,2
105年1月,大同區,不明,不明,40-未滿65歲,2,其他家虐,6
105年1月,大同區,不明,不明,40-未滿65歲,2,婚姻暴力,5
105年1月,大同區,不明,不明,40-未滿65歲,1,其他家虐,5
105年1月,大同區,不明,不明,40-未滿65歲,1,婚姻暴力,3
105年1月,大同區,不明,不明,65歲以上,2,老人虐待,1
105年1月,大同區,不明,不明,65歲以上,2,婚姻暴力,1
105年1月,大同區,不明,不明,6-未滿12歲,2,其他家虐,1
105年1月,大同區,不明,不明,6-未滿12歲,1,兒少保護,1
105年1月,大同區,光能里,63000060008,20-未滿40歲,2,其他家虐,1
105年1月,大同區,斯文里,63000060020,18-未滿20歲,2,其他家虐,1
105年1月,大同區,鄰江里,63000060021,20-未滿40歲,1,其他家虐,1
105年1月,大安區,大學里,63000030043,40-未滿65歲,2,婚姻暴力,1
105年1月,大安區,不明,不明,12-未滿18歲,2,兒少保護,1
105年1月,大安區,不明,不明,12-未滿18歲,2,其他家虐,1
105年1月,大安區,不明,不明,12-未滿18歲,1,兒少保護,2
105年1月,大安區,不明,不明,12-未滿18歲,1,非保護性案件,1
105年1月,大安區,不明,不明,18-未滿20歲,2,其他家虐,2
105年1月,大安區,不明,不明,20-未滿40歲,2,其他家虐,2
105年1月,大安區,不明,不明,20-未滿40歲,2,婚姻暴力,6
105年1月,大安區,不明,不明,40-未滿65歲,2,其他家虐,2
105年1月,大安區,不明,不明,40-未滿65歲,2,非保護性案件,2
105年1月,大安區,不明,不明,40-未滿65歲,2,婚姻暴力,10
105年1月,大安區,不明,不明,40-未滿65歲, ,婚姻暴力,1
105年1月,大安區,不明,不明,40-未滿65歲,1,其他家虐,2
105年1月,大安區,不明,不明,40-未滿65歲,1,婚姻暴力,6
105年1月,大安區,不明,不明,65歲以上,2,不明,1
105年1月,大安區,不明,不明,65歲以上,2,老人虐待,2
105年1月,大安區,不明,不明,65歲以上,2,婚姻暴力,2
105年1月,大安區,不明,不明,6-未滿12歲,2,兒少保護,3
105年1月,大安區,不明,不明,6-未滿12歲,2,非保護性案件,1
105年1月,大安區,不明,不明,未滿6歲,2,兒少保護,1
105年1月,大安區,不明,不明,未滿6歲,2,非保護性案件,1
105年1月,大安區,不明,不明,未滿6歲,1,兒少保護,2
105年1月,大安區,不明,不明,未滿6歲,1,非保護性案件,1
105年1月,大安區,全安里,63000030035,20-未滿40歲,2,婚姻暴力,1
105年1月,大安區,車層里,63000030055,40-未滿65歲,2,其他家虐,1
105年1月,大安區,車層里,63000030055,40-未滿65歲,1,婚姻暴力,1
105年1月,大安區,和安里,63000030003,65歲以上,1,老人虐待,1
105年1月,大安區,昌隆里,63000030008,65歲以上,2,老人虐待,1
105年1月,大安區,法治里,63000030034,40-未滿65歲,2,其他家虐,1
105年1月,大安區,法治里,63000030034,65歲以上,1,老人虐待,1
105年1月,大安區,建安里,63000030049,20-未滿40歲,2,婚姻暴力,1
105年1月,大安區,通化里,63000030031,20-未滿40歲,2,其他家虐,1
105年1月,大安區,通安里,63000030032,40-未滿65歲,1,婚姻暴力,1
105年1月,大安區,通安里,63000030032,6-未滿12歲,1,兒少保護,1
105年1月,大安區,敦安里,63000030051,40-未滿65歲,2,其他家虐,1
105年1月,大安區,華聲里,63000030054,40-未滿65歲,1,婚姻暴力,1
105年1月,大安區,新龍里,63000030023,40-未滿65歲,2,婚姻暴力,1
105年1月,大安區,新龍里,63000030023,40-未滿65歲,1,婚姻暴力,1
105年1月,大安區,義安里,63000030030,20-未滿40歲,1,婚姻暴力,1
105年1月,大安區,群英里,63000030037,40-未滿65歲,2,婚姻暴力,1
105年1月,大安區,群賢里,63000030036,20-未滿40歲,2,婚姻暴力,1
105年1月,大安區,福住里,63000030017,40-未滿65歲,2,婚姻暴力,1
105年1月,大安區,福住里,63000030017,40-未滿65歲,1,婚姻暴力,1
105年1月,大安區,學府里,63000030057,65歲以上,1,老人虐待,1
105年1月,大安區,龍生里,63000030028,20-未滿40歲,2,婚姻暴力,1
105年1月,大安區,龍淵里,63000030040,20-未滿40歲,2,其他家虐,1
105年1月,不明,不明,不明,12-未滿18歲,2,兒少保護,4
105年1月,不明,不明,不明,12-未滿18歲,2,其他家虐,3
105年1月,不明,不明,不明,12-未滿18歲,2,非保護性案件,1
105年1月,不明,不明,不明,12-未滿18歲,1,兒少保護,2
105年1月,不明,不明,不明,18-未滿20歲,2,非保護性案件,1
105年1月,不明,不明,不明,18-未滿20歲,1,其他家虐,1
105年1月,不明,不明,不明,20-未滿40歲,2,其他家虐,8
105年1月,不明,不明,不明,20-未滿40歲,2,非保護性案件,2
105年1月,不明,不明,不明,20-未滿40歲,2,婚姻暴力,10
105年1月,不明,不明,不明,20-未滿40歲, ,婚姻暴力,1
105年1月,不明,不明,不明,20-未滿40歲,1,其他家虐,1
105年1月,不明,不明,不明,20-未滿40歲,1,婚姻暴力,1
105年1月,不明,不明,不明,40-未滿65歲,2,其他家虐,5
105年1月,不明,不明,不明,40-未滿65歲,2,婚姻暴力,15
105年1月,不明,不明,不明,40-未滿65歲,1,其他家虐,1
105年1月,不明,不明,不明,65歲以上,2,不明,1
105年1月,不明,不明,不明,65歲以上,2,老人虐待,3
105年1月,不明,不明,不明,65歲以上,2,其他家虐,2
105年1月,不明,不明,不明,65歲以上,2,婚姻暴力,1
105年1月,不明,不明,不明,65歲以上, ,兒少保護,1
105年1月,不明,不明,不明,65歲以上, ,非保護性案件,2
105年1月,不明,不明,不明,65歲以上, ,婚姻暴力,4
105年1月,不明,不明,不明,65歲以上,1,老人虐待,1
105年1月,不明,不明,不明,65歲以上,1,婚姻暴力,1
105年1月,不明,不明,不明,6-未滿12歲,2,兒少保護,3
105年1月,不明,不明,不明,6-未滿12歲,2,非保護性案件,1
105年1月,不明,不明,不明,6-未滿12歲,1,兒少保護,1
105年1月,不明,不明,不明,6-未滿12歲,1,非保護性案件,1
105年1月,不明,不明,不明,未滿6歲,2,兒少保護,3
105年1月,不明,不明,不明,未滿6歲,2,非保護性案件,1
105年1月,不明,不明,不明,未滿6歲,1,兒少保護,3
105年1月,不明,不明,不明,未滿6歲,1,非保護性案件,2
105年1月,中山區,不明,不明,12-未滿18歲,2,其他家虐,1
105年1月,中山區,不明,不明,12-未滿18歲,1,兒少保護,1
105年1月,中山區,不明,不明,12-未滿18歲,1,其他家虐,1
105年1月,中山區,不明,不明,12-未滿18歲,1,非保護性案件,1
105年1月,中山區,不明,不明,18-未滿20歲,1,兒少保護,1
105年1月,中山區,不明,不明,20-未滿40歲,2,其他家虐,10
105年1月,中山區,不明,不明,20-未滿40歲,2,非保護性案件,1
105年1月,中山區,不明,不明,20-未滿40歲,2,婚姻暴力,11
105年1月,中山區,不明,不明,20-未滿40歲,1,其他家虐,1
105年1月,中山區,不明,不明,20-未滿40歲,1,婚姻暴力,4
105年1月,中山區,不明,不明,40-未滿65歲,2,其他家虐,4
105年1月,中山區,不明,不明,40-未滿65歲,2,非保護性案件,2
105年1月,中山區,不明,不明,40-未滿65歲,2,婚姻暴力,8
105年1月,中山區,不明,不明,40-未滿65歲,1,其他家虐,1
105年1月,中山區,不明,不明,40-未滿65歲,1,非保護性案件,1
105年1月,中山區,不明,不明,40-未滿65歲,1,婚姻暴力,1
105年1月,中山區,不明,不明,65歲以上,2,不明,1
105年1月,中山區,不明,不明,65歲以上,2,老人虐待,2
105年1月,中山區,不明,不明,65歲以上,2,其他家虐,2
105年1月,中山區,不明,不明,65歲以上, ,非保護性案件,1
105年1月,中山區,不明,不明,65歲以上,1,兒少保護,1
105年1月,中山區,不明,不明,6-未滿12歲,1,兒少保護,1
105年1月,中山區,不明,不明,未滿6歲,2,非保護性案件,1
105年1月,中山區,不明,不明,未滿6歲,1,非保護性案件,1
105年1月,中山區,永安里,63000040016,40-未滿65歲,2,婚姻暴力,1
105年1月,中山區,朱馥里,63000040034,40-未滿65歲,2,婚姻暴力,1
105年1月,中山區,朱馥里,63000040034,40-未滿65歲,1,婚姻暴力,1
105年1月,中山區,江寧里,63000040028,40-未滿65歲,2,婚姻暴力,1
105年1月,中山區,圓山里,63000040012,40-未滿65歲,2,其他家虐,1
105年1月,中山區,圓山里,63000040012,65歲以上,1,老人虐待,1
105年1月,中山區,新庄里,63000040019,20-未滿40歲,1,婚姻暴力,1
105年1月,中山區,聚葉里,63000040009,20-未滿40歲,2,婚姻暴力,1
105年1月,中山區,劍潭里,63000040013,40-未滿65歲,2,其他家虐,1
105年1月,中山區,龍洲里,63000040035,20-未滿40歲,1,婚姻暴力,1
105年1月,中正區,三愛里,63000050031,20-未滿40歲,2,其他家虐,1
105年1月,中正區,不明,不明,12-未滿18歲,1,兒少保護,3
105年1月,中正區,不明,不明,18-未滿20歲,2,其他家虐,1
105年1月,中正區,不明,不明,20-未滿40歲,2,其他家虐,4
105年1月,中正區,不明,不明,20-未滿40歲,2,婚姻暴力,7
105年1月,中正區,不明,不明,20-未滿40歲,1,其他家虐,2
105年1月,中正區,不明,不明,20-未滿40歲,1,婚姻暴力,1
105年1月,中正區,不明,不明,40-未滿65歲,2,其他家虐,3
105年1月,中正區,不明,不明,40-未滿65歲,2,非保護性案件,1
105年1月,中正區,不明,不明,40-未滿65歲,2,婚姻暴力,6
105年1月,中正區,不明,不明,40-未滿65歲, ,婚姻暴力,1
105年1月,中正區,不明,不明,40-未滿65歲,1,其他家虐,1
105年1月,中正區,不明,不明,40-未滿65歲,1,非保護性案件,1
105年1月,中正區,不明,不明,40-未滿65歲,1,婚姻暴力,2
105年1月,中正區,不明,不明,65歲以上, ,非保護性案件,1
105年1月,中正區,不明,不明,65歲以上,1,老人虐待,2
105年1月,中正區,不明,不明,未滿6歲,1,非保護性案件,1
105年1月,中正區,水源里,63000050001,20-未滿40歲,2,婚姻暴力,1
105年1月,中正區,永昌里,63000050012,20-未滿40歲,2,婚姻暴力,1
105年1月,中正區,永昌里,63000050012,65歲以上,2,非保護性案件,1
105年1月,中正區,梅花里,63000050025,40-未滿65歲,2,其他家虐,1
105年1月,中正區,頂東里,63000050006,20-未滿40歲,2,婚姻暴力,1
105年1月,中正區,頂東里,63000050006,20-未滿40歲,1,其他家虐,1
105年1月,中正區,廈安里,63000050015,40-未滿65歲,1,其他家虐,1
105年1月,中正區,廈安里,63000050015,65歲以上,1,老人虐待,1
105年1月,中正區,螢圃里,63000050009,12-未滿18歲,1,非保護性案件,1
105年1月,中正區,螢雪里,63000050010,40-未滿65歲,1,婚姻暴力,1
105年1月,內湖區,不明,不明,12-未滿18歲,2,兒少保護,2
105年1月,內湖區,不明,不明,12-未滿18歲,2,其他家虐,1
105年1月,內湖區,不明,不明,12-未滿18歲, ,兒少保護,1
105年1月,內湖區,不明,不明,12-未滿18歲,1,其他家虐,1
105年1月,內湖區,不明,不明,12-未滿18歲,1,非保護性案件,2
105年1月,內湖區,不明,不明,18-未滿20歲,2,其他家虐,1
105年1月,內湖區,不明,不明,20-未滿40歲,2,其他家虐,3
105年1月,內湖區,不明,不明,20-未滿40歲,2,婚姻暴力,14
105年1月,內湖區,不明,不明,20-未滿40歲, ,婚姻暴力,1
105年1月,內湖區,不明,不明,20-未滿40歲,1,其他家虐,2
105年1月,內湖區,不明,不明,20-未滿40歲,1,非保護性案件,1
105年1月,內湖區,不明,不明,20-未滿40歲,1,婚姻暴力,1
105年1月,內湖區,不明,不明,40-未滿65歲,2,其他家虐,3
105年1月,內湖區,不明,不明,40-未滿65歲,2,婚姻暴力,14
105年1月,內湖區,不明,不明,40-未滿65歲, ,婚姻暴力,1
105年1月,內湖區,不明,不明,40-未滿65歲,1,其他家虐,6
105年1月,內湖區,不明,不明,40-未滿65歲,1,非保護性案件,3
105年1月,內湖區,不明,不明,40-未滿65歲,1,婚姻暴力,10
105年1月,內湖區,不明,不明,65歲以上,2,不明,1
105年1月,內湖區,不明,不明,65歲以上,2,老人虐待,1
105年1月,內湖區,不明,不明,65歲以上,2,婚姻暴力,1
105年1月,內湖區,不明,不明,65歲以上,1,老人虐待,1
105年1月,內湖區,不明,不明,6-未滿12歲,1,兒少保護,1
105年1月,內湖區,不明,不明,未滿6歲,2,其他家虐,1
105年1月,內湖區,不明,不明,未滿6歲,2,非保護性案件,1
105年1月,內湖區,西康里,63000100002,40-未滿65歲,1,婚姻暴力,1
105年1月,內湖區,西湖里,63000100001,40-未滿65歲,2,其他家虐,1
105年1月,內湖區,西湖里,63000100001,65歲以上,1,老人虐待,1
105年1月,內湖區,秀湖里,63000100032,12-未滿18歲,2,其他家虐,1
105年1月,內湖區,東湖里,63000100023,65歲以上,2,老人虐待,1
105年1月,內湖區,金瑞里,63000100014,20-未滿40歲,2,婚姻暴力,1
105年1月,內湖區,金龍里,63000100013,20-未滿40歲,2,其他家虐,1
105年1月,內湖區,清白里,63000100017,20-未滿40歲,1,其他家虐,1
105年1月,內湖區,港富里,63000100007,20-未滿40歲,2,其他家虐,1
105年1月,內湖區,港墘里,63000100005,20-未滿40歲,1,其他家虐,1
105年1月,內湖區,港墘里,63000100005,65歲以上,1,婚姻暴力,1
105年1月,內湖區,紫陽里,63000100019,6-未滿12歲,1,兒少保護,1
105年1月,內湖區,樂康里,63000100024,20-未滿40歲,1,婚姻暴力,1
105年1月,內湖區,寶湖里,63000100039,20-未滿40歲,2,婚姻暴力,1
105年1月,內湖區,蘆洲里,63000100037,20-未滿40歲,2,婚姻暴力,1
105年1月,文山區,不明,不明,12-未滿18歲,2,其他家虐,2
105年1月,文山區,不明,不明,12-未滿18歲,2,非保護性案件,2
105年1月,文山區,不明,不明,18-未滿20歲,1,其他家虐,1
105年1月,文山區,不明,不明,20-未滿40歲,2,其他家虐,3
105年1月,文山區,不明,不明,20-未滿40歲,2,婚姻暴力,4
105年1月,文山區,不明,不明,20-未滿40歲,1,其他家虐,2
105年1月,文山區,不明,不明,20-未滿40歲,1,非保護性案件,1
105年1月,文山區,不明,不明,20-未滿40歲,1,婚姻暴力,1
105年1月,文山區,不明,不明,40-未滿65歲,2,其他家虐,6
105年1月,文山區,不明,不明,40-未滿65歲,2,非保護性案件,1
105年1月,文山區,不明,不明,40-未滿65歲,2,婚姻暴力,7
105年1月,文山區,不明,不明,40-未滿65歲,1,其他家虐,1
105年1月,文山區,不明,不明,65歲以上,2,不明,1
105年1月,文山區,不明,不明,65歲以上,2,老人虐待,1
105年1月,文山區,不明,不明,65歲以上,2,婚姻暴力,2
105年1月,文山區,不明,不明,65歲以上,1,不明,2
105年1月,文山區,不明,不明,65歲以上,1,老人虐待,3
105年1月,文山區,不明,不明,6-未滿12歲,2,婚姻暴力,1
105年1月,文山區,不明,不明,未滿6歲,2,非保護性案件,1
105年1月,文山區,木柵里,63000080027,12-未滿18歲,2,兒少保護,1
105年1月,文山區,木柵里,63000080027,12-未滿18歲,1,非保護性案件,1
105年1月,文山區,木柵里,63000080027,20-未滿40歲,2,其他家虐,1
105年1月,文山區,木柵里,63000080027,40-未滿65歲,1,其他家虐,1
105年1月,文山區,木新里,63000080028,20-未滿40歲,1,其他家虐,1
105年1月,文山區,忠順里,63000080038,65歲以上,2,婚姻暴力,1
105年1月,文山區,明義里,63000080025,20-未滿40歲,1,其他家虐,1
105年1月,文山區,指南里,63000080036,20-未滿40歲,2,其他家虐,1
105年1月,文山區,政大里,63000080040,40-未滿65歲,1,婚姻暴力,1
105年1月,文山區,景東里,63000080002,40-未滿65歲,2,其他家虐,1
105年1月,文山區,景東里,63000080002,40-未滿65歲,2,婚姻暴力,1
105年1月,文山區,景東里,63000080002,65歲以上,2,老人虐待,1
105年1月,文山區,景慶里,63000080004,未滿6歲,2,婚姻暴力,1
105年1月,文山區,華興里,63000080024,20-未滿40歲,2,婚姻暴力,1
105年1月,文山區,萬芳里,63000080033,20-未滿40歲,2,婚姻暴力,1
105年1月,文山區,萬芳里,63000080033,40-未滿65歲,1,其他家虐,1
105年1月,文山區,萬芳里,63000080033,65歲以上,2,老人虐待,1
105年1月,文山區,萬隆里,63000080009,20-未滿40歲,2,婚姻暴力,1
105年1月,文山區,萬隆里,63000080009,6-未滿12歲,1,非保護性案件,1
105年1月,文山區,試院里,63000080023,20-未滿40歲,2,婚姻暴力,1
105年1月,文山區,樟文里,63000080041,20-未滿40歲,2,婚姻暴力,1
105年1月,文山區,樟林里,63000080030,20-未滿40歲,2,婚姻暴力,1
105年1月,文山區,樟腳里,63000080032,40-未滿65歲,1,婚姻暴力,1
105年1月,文山區,興光里,63000080014,65歲以上,2,老人虐待,1
105年1月,文山區,興安里,63000080018,18-未滿20歲,2,非保護性案件,1
105年1月,文山區,興安里,63000080018,40-未滿65歲,1,婚姻暴力,1
105年1月,文山區,興旺里,63000080020,40-未滿65歲,1,婚姻暴力,1
105年1月,文山區,興家里,63000080015,20-未滿40歲,2,婚姻暴力,1
105年1月,文山區,興業里,63000080017,40-未滿65歲,2,其他家虐,1
105年1月,文山區,興豐里,63000080013,12-未滿18歲,1,非保護性案件,1
105年1月,文山區,興豐里,63000080013,40-未滿65歲,2,婚姻暴力,2
105年1月,北投區,一德里,63000120037,20-未滿40歲,2,其他家虐,1
105年1月,北投區,一德里,63000120037,未滿6歲,1,兒少保護,1
105年1月,北投區,大同里,63000120024,20-未滿40歲,1,其他家虐,1
105年1月,北投區,大同里,63000120024,40-未滿65歲,2,其他家虐,1
105年1月,北投區,不明,不明,12-未滿18歲,2,兒少保護,2
105年1月,北投區,不明,不明,12-未滿18歲,2,其他家虐,2
105年1月,北投區,不明,不明,12-未滿18歲,1,兒少保護,2
105年1月,北投區,不明,不明,12-未滿18歲,1,非保護性案件,1
105年1月,北投區,不明,不明,20-未滿40歲,2,其他家虐,7
105年1月,北投區,不明,不明,20-未滿40歲,2,婚姻暴力,9
105年1月,北投區,不明,不明,20-未滿40歲,1,其他家虐,1
105年1月,北投區,不明,不明,20-未滿40歲,1,非保護性案件,1
105年1月,北投區,不明,不明,20-未滿40歲,1,婚姻暴力,2
105年1月,北投區,不明,不明,40-未滿65歲,2,其他家虐,8
105年1月,北投區,不明,不明,40-未滿65歲,2,非保護性案件,1
105年1月,北投區,不明,不明,40-未滿65歲,2,婚姻暴力,6
105年1月,北投區,不明,不明,40-未滿65歲,1,其他家虐,4
105年1月,北投區,不明,不明,40-未滿65歲,1,非保護性案件,2
105年1月,北投區,不明,不明,40-未滿65歲,1,婚姻暴力,2
105年1月,北投區,不明,不明,65歲以上,2,老人虐待,3
105年1月,北投區,不明,不明,65歲以上,1,婚姻暴力,1
105年1月,北投區,不明,不明,6-未滿12歲,2,兒少保護,1
105年1月,北投區,不明,不明,6-未滿12歲,2,非保護性案件,1
105年1月,北投區,不明,不明,6-未滿12歲,1,老人虐待,1
105年1月,北投區,不明,不明,6-未滿12歲,1,兒少保護,2
105年1月,北投區,不明,不明,未滿6歲,1,兒少保護,1
105年1月,北投區,永欣里,63000120010,40-未滿65歲,2,婚姻暴力,1
105年1月,北投區,立農里,63000120017,40-未滿65歲,2,其他家虐,1
105年1月,北投區,奇岩里,63000120020,20-未滿40歲,2,其他家虐,1
105年1月,北投區,奇岩里,63000120020,40-未滿65歲,2,婚姻暴力,1
105年1月,北投區,奇岩里,63000120020,40-未滿65歲,1,婚姻暴力,1
105年1月,北投區,長安里,63000120023,20-未滿40歲,1,婚姻暴力,1
105年1月,北投區,建民里,63000120001,40-未滿65歲,2,婚姻暴力,1
105年1月,北投區,建民里,63000120001,40-未滿65歲,1,婚姻暴力,1
105年1月,北投區,清江里,63000120021,40-未滿65歲,2,婚姻暴力,1
105年1月,北投區,湖田里,63000120042,12-未滿18歲,1,其他家虐,1
105年1月,北投區,開明里,63000120029,40-未滿65歲,1,婚姻暴力,1
105年1月,北投區,溫泉里,63000120025,20-未滿40歲,1,其他家虐,1
105年1月,北投區,榮光里,63000120005,20-未滿40歲,2,其他家虐,1
105年1月,北投區,榮華里,63000120006,65歲以上,1,老人虐待,1
105年1月,北投區,稻香里,63000120035,20-未滿40歲,2,婚姻暴力,1
105年1月,松山區,三民里,63000010004,40-未滿65歲,2,婚姻暴力,1
105年1月,松山區,不明,不明,12-未滿18歲,2,非保護性案件,1
105年1月,松山區,不明,不明,12-未滿18歲,1,非保護性案件,1
105年1月,松山區,不明,不明,18-未滿20歲,1,其他家虐,1
105年1月,松山區,不明,不明,20-未滿40歲,2,其他家虐,3
105年1月,松山區,不明,不明,20-未滿40歲,2,婚姻暴力,11
105年1月,松山區,不明,不明,20-未滿40歲,1,其他家虐,3
105年1月,松山區,不明,不明,20-未滿40歲,1,非保護性案件,1
105年1月,松山區,不明,不明,20-未滿40歲,1,婚姻暴力,2
105年1月,松山區,不明,不明,40-未滿65歲,2,其他家虐,3
105年1月,松山區,不明,不明,40-未滿65歲,2,婚姻暴力,12
105年1月,松山區,不明,不明,40-未滿65歲, ,婚姻暴力,1
105年1月,松山區,不明,不明,40-未滿65歲,1,其他家虐,2
105年1月,松山區,不明,不明,40-未滿65歲,1,婚姻暴力,5
105年1月,松山區,不明,不明,65歲以上,2,婚姻暴力,2
105年1月,松山區,不明,不明,65歲以上, ,兒少保護,1
105年1月,松山區,不明,不明,65歲以上,1,老人虐待,1
105年1月,松山區,不明,不明,65歲以上,1,婚姻暴力,1
105年1月,松山區,不明,不明,6-未滿12歲,1,非保護性案件,2
105年1月,松山區,不明,不明,未滿6歲,2,兒少保護,2
105年1月,松山區,不明,不明,未滿6歲,1,兒少保護,2
105年1月,松山區,中正里,63000010026,40-未滿65歲,2,其他家虐,1
105年1月,松山區,民有里,63000010016,40-未滿65歲,1,婚姻暴力,1
105年1月,松山區,吉仁里,63000010029,20-未滿40歲,2,婚姻暴力,1
105年1月,松山區,東榮里,63000010003,20-未滿40歲,1,婚姻暴力,1
105年1月,松山區,莊敬里,63000010002,40-未滿65歲,2,婚姻暴力,1
105年1月,松山區,龍田里,63000010012,20-未滿40歲,2,其他家虐,1
105年1月,松山區,龍田里,63000010012,20-未滿40歲,2,婚姻暴力,1
105年1月,信義區,三犁里,63000020031,40-未滿65歲,2,婚姻暴力,1
105年1月,信義區,大道里,63000020026,20-未滿40歲,1,婚姻暴力,1
105年1月,信義區,不明,不明,12-未滿18歲,2,兒少保護,1
105年1月,信義區,不明,不明,12-未滿18歲,1,非保護性案件,1
105年1月,信義區,不明,不明,20-未滿40歲,2,其他家虐,2
105年1月,信義區,不明,不明,20-未滿40歲,2,非保護性案件,2
105年1月,信義區,不明,不明,20-未滿40歲,2,婚姻暴力,13
105年1月,信義區,不明,不明,20-未滿40歲,1,其他家虐,1
105年1月,信義區,不明,不明,20-未滿40歲,1,婚姻暴力,4
105年1月,信義區,不明,不明,40-未滿65歲,2,其他家虐,6
105年1月,信義區,不明,不明,40-未滿65歲,2,婚姻暴力,16
105年1月,信義區,不明,不明,40-未滿65歲,1,其他家虐,6
105年1月,信義區,不明,不明,40-未滿65歲,1,非保護性案件,1
105年1月,信義區,不明,不明,40-未滿65歲,1,婚姻暴力,1
105年1月,信義區,不明,不明,65歲以上,2,老人虐待,4
105年1月,信義區,不明,不明,65歲以上,1,老人虐待,3
105年1月,信義區,不明,不明,65歲以上,1,婚姻暴力,1
105年1月,信義區,不明,不明,6-未滿12歲,1,非保護性案件,1
105年1月,信義區,不明,不明,未滿6歲, ,非保護性案件,1
105年1月,信義區,中行里,63000020025,40-未滿65歲,2,婚姻暴力,1
105年1月,信義區,中行里,63000020025,40-未滿65歲,1,其他家虐,1
105年1月,信義區,中行里,63000020025,40-未滿65歲,1,婚姻暴力,1
105年1月,信義區,四育里,63000020016,40-未滿65歲,2,其他家虐,1
105年1月,信義區,永春里,63000020018,20-未滿40歲,2,婚姻暴力,1
105年1月,信義區,永春里,63000020018,65歲以上,2,老人虐待,1
105年1月,信義區,長春里,63000020015,40-未滿65歲,2,非保護性案件,1
105年1月,信義區,泰和里,63000020033,12-未滿18歲,1,其他家虐,1
105年1月,信義區,惠安里,63000020029,20-未滿40歲,2,其他家虐,1
105年1月,信義區,惠安里,63000020029,65歲以上,1,老人虐待,1
105年1月,信義區,雙和里,63000020036,40-未滿65歲,2,其他家虐,1
105年1月,南港區,九如里,63000090018,20-未滿40歲,2,非保護性案件,1
105年1月,南港區,九如里,63000090018,6-未滿12歲,1,非保護性案件,1
105年1月,南港區,三重里,63000090004,20-未滿40歲,2,婚姻暴力,1
105年1月,南港區,不明,不明,12-未滿18歲,2,其他家虐,1
105年1月,南港區,不明,不明,12-未滿18歲,2,非保護性案件,1
105年1月,南港區,不明,不明,12-未滿18歲,1,兒少保護,1
