民國年,月,日,天然災害名稱,臺北市停止上班上課情形
104,8,7,蘇迪勒颱風,8月7日晚上停止上班及上課。
104,8,8,蘇迪勒颱風,8月8日已達停止上班及上課標準。
104,8,9,蘇迪勒颱風,8月9日未達停止上班及上課標準。
104,8,22,天鵝颱風,8月22日未達停止上班及上課標準。
104,9,27,杜鵑颱風,9月27日晚上未達停止上班及上課標準。
104,9,28,杜鵑颱風,9月28日已達停止上班及上課標準。
104,9,29,杜鵑颱風,9月29日停止上班及上課。
105,7,7,尼伯特颱風,7月7日照常上班及上課。
105,7,8,尼伯特颱風,7月8日停止上班及上課。
105,7,9,尼伯特颱風,7月9日未達停止上班及上課標準。
105,9,13,莫蘭蒂颱風,9月13日照常上班及上課。
105,9,14,莫蘭蒂颱風,9月14日照常上班及上課。
105,9,15,莫蘭蒂颱風,9月15日未達停止上班及上課標準。
105,9,16,馬勒卡颱風,9月16日未達停止上班及上課標準。
105,9,17,馬勒卡颱風,9月17日已達停止上班及上課標準。
105,9,18,馬勒卡颱風,9月18日未達停止上班及上課標準。
105,9,26,梅姬颱風,9月26日照常上班及上課。
105,9,27,梅姬颱風,9月27日停止上班及上課。
105,9,28,梅姬颱風,9月28日停止上班及上課。
106,6,2,本市大豪雨,6月2日清江國小附設幼兒園、華岡藝校中午12時起照常上班、停止上課。大佳國小、溪山國小下午1時起照常上班、停止上課。格致國中下午2時起照常上班、停止上課。協和祐德高中下午3時起照常上班、停止上課。
106,7,28,尼莎颱風,7月28日照常上班及上課。
106,7,29,尼莎颱風,7月29日晚上已達停止上班及上課標準。
106,7,30,尼莎颱風,7月30日已達停止上班及上課標準。
106,7,31,海棠颱風,7月31日照常上班及上課。
106,8,21,天鴿颱風,8月21日照常上班及上課。
106,8,22,天鴿颱風,8月22日照常上班及上課。
107,7,10,瑪莉亞颱風,7月10日下午4時起停止上班及上課。
107,7,11,瑪莉亞颱風,7月11日照常上班及上課。
108,7,18,丹娜絲颱風,7月18日照常上班及上課。
108,8,8,利奇馬颱風,8月8日照常上班及上課。
108,8,8,利奇馬颱風,8月8日晚上照常上班及上課。
108,8,9,利奇馬颱風,8月9日停止上班及上課。
